
Calculated Values       Printed Values
-------------------------------------
(2,20)              (2,20)
(3,20.6122)              (3,21)
(4,21.2245)              (4,21)
(5,21.8367)              (5,22)
(6,22.449)              (6,22)
(7,23.0612)              (7,23)
(8,23.6735)              (8,24)
(9,24.2857)              (9,24)
(10,24.898)              (10,25)
(11,25.5102)              (11,26)
(12,26.1224)              (12,26)
(13,26.7347)              (13,27)
(14,27.3469)              (14,27)
(15,27.9592)              (15,28)
(16,28.5714)              (16,29)
(17,29.1837)              (17,29)
(18,29.7959)              (18,30)
(19,30.4082)              (19,30)
(20,31.0204)              (20,31)
(21,31.6327)              (21,32)
(22,32.2449)              (22,32)
(23,32.8571)              (23,33)
(24,33.4694)              (24,33)
(25,34.0816)              (25,34)
(26,34.6939)              (26,35)
(27,35.3061)              (27,35)
(28,35.9184)              (28,36)
(29,36.5306)              (29,37)
(30,37.1429)              (30,37)
(31,37.7551)              (31,38)
(32,38.3673)              (32,38)
(33,38.9796)              (33,39)
(34,39.5918)              (34,40)
(35,40.2041)              (35,40)
(36,40.8163)              (36,41)
(37,41.4286)              (37,41)
(38,42.0408)              (38,42)
(39,42.6531)              (39,43)
(40,43.2653)              (40,43)
(41,43.8776)              (41,44)
(42,44.4898)              (42,44)
(43,45.102)              (43,45)
(44,45.7143)              (44,46)
(45,46.3265)              (45,46)
(46,46.9388)              (46,47)
(47,47.551)              (47,48)
(48,48.1633)              (48,48)
(49,48.7755)              (49,49)
(50,49.3878)              (50,49)
(51,50)              (51,50)
(52,50.6122)              (52,51)
(53,51.2245)              (53,51)
(54,51.8367)              (54,52)
(55,52.449)              (55,52)
(56,53.0612)              (56,53)
(57,53.6735)              (57,54)
(58,54.2857)              (58,54)
(59,54.898)              (59,55)
(60,55.5102)              (60,56)
(61,56.1224)              (61,56)
(62,56.7347)              (62,57)
(63,57.3469)              (63,57)
(64,57.9592)              (64,58)
(65,58.5714)              (65,59)
(66,59.1837)              (66,59)
(67,59.7959)              (67,60)
(68,60.4082)              (68,60)
(69,61.0204)              (69,61)
(70,61.6327)              (70,62)
(71,62.2449)              (71,62)
(72,62.8571)              (72,63)
(73,63.4694)              (73,63)
(74,64.0816)              (74,64)
(75,64.6939)              (75,65)
(76,65.3061)              (76,65)
(77,65.9184)              (77,66)
(78,66.5306)              (78,67)
(79,67.1429)              (79,67)
(80,67.7551)              (80,68)
(81,68.3673)              (81,68)
(82,68.9796)              (82,69)
(83,69.5918)              (83,70)
(84,70.2041)              (84,70)
(85,70.8163)              (85,71)
(86,71.4286)              (86,71)
(87,72.0408)              (87,72)
(88,72.6531)              (88,73)
(89,73.2653)              (89,73)
(90,73.8776)              (90,74)
(91,74.4898)              (91,74)
(92,75.102)              (92,75)
(93,75.7143)              (93,76)
(94,76.3265)              (94,76)
(95,76.9388)              (95,77)
(96,77.551)              (96,78)
(97,78.1633)              (97,78)
(98,78.7755)              (98,79)
(99,79.3878)              (99,79)
